sense,sentence,centroid_cs
arrange.v.01,"It is not difficult to see that the stamens of the catkin are always arranged in pairs , and that each individual flower is nothing but one such pair standing on a green , black tipped little scale .",0.7224715120444197
arrange.v.01,"He was tired , he had his business worries , and the sight of his wife arranging pork chops in the broiler only seemed like an extension of a boring day .",0.8063215751926552
arrange.v.01,"There was a glass pane in the front door , and through this he could see into a hallway where a plump woman with red hair was arranging flowers .",0.7162291081338973
arrange.v.01,A bustle of sheets being smoothed and pillows being arranged indicated the fille de chambre 's presence inside ; they listened and suddenly a step towards the door announced another important fact .,0.8526321818078477
arrange.v.01,"Everything was orderly and it seemed to be arranged for the workman 's comfort , convenience and efficiency .",0.8183745064922057
arrange.v.01,"The rating scale of compulsivity was constructed by first perusing the interview records , categorizing all evidence related to compulsivity , then arranging a distribution of such information apart from the case records .",0.8094299187736417
arrange.v.01,"This behavior on her part subsided only after I had come to see the uncomfortably close similarity between , on the one hand , her arranging the ventilation of the common living room to her own liking , or turning the television off or on without regard to the wishes of the others , and on the other hand , my own coming stolidly into her room despite her persistent and vociferous objections , bringing my big easy chair with me , usually shutting the windows of her room which she preferred to keep in a very cold state , and plunking myself down in my chair - in short , behaving as if I owned her room .",0.8469704742283934
arrange.v.01,But his hands and those of Donovan moved automatically adjusting and arranging in the check-out procedure .,0.8236728831867719
arrange.v.01,"In this way , you can arrange his legs and arms in any desired position , with feet , or one foot , barely resting on the pedestal .",0.8316724655151145
arrange.v.01,"Rameau 's Six Concerts en Sextuor , recorded by L ' orchestre de chambre Pierre Menet ( BAM LD 046 ) , turn out to be harpsichord pieces arranged for strings apparently by the composer himself .",0.7243429186614944
arrange.v.01,"Leading firms that arranged their own financing included Speidel Corporation , Cornell-Dubilier , Photek , Inc. Division of Textron , Narragansett Gray Iron Foundry , W. R. Cobb Company , and Mays Manufacturing Company .",0.7052695004236966
arrange.v.01,Owen was surprised to see Mrs. Gertrude Parker playing the one-arm bandits that were cunningly arranged by the entrance .,0.8218386231302187
