sense,sentence,centroid_cs
individual.n.02,Three of the anti - Rh sera used were taken from recently sensitized individuals .,0.8434777363921488
individual.n.02,"The nest itself , the structure that in some cases housed about 2000 individuals when the season was at its peak , is now rapidly destroyed by the scavenging larvae of certain beetles and moths .",0.7269725744513658
individual.n.02,Female individuals of Psithyrus look deceptively like the workers and queens of the bumblebees they victimize .,0.7832049309535987
individual.n.02,"The life history of the alkali bee is similar to that of Andrena , but the first activity of the adults does not take place until summer , and the individuals hibernate in the prepupal stage .",0.8118061276513708
individual.n.02,Definite information on the growth of senile individuals is lacking .,0.8635448937743337
individual.n.02,"When some thirteen records of newly and recently born individuals are collated , little or no correlation between length and distribution can be detected .",0.8932343112715546
individual.n.02,"The range is from 14 to 25 inches ; the former figure is based on a somewhat unusual birth of four by a Central American female ( see chapter on Laying , Brooding , Hatching , and Birth ) , the latter on a `` normal '' newly born individual .",0.875006869541444
individual.n.02,"What data there are on growth indicate considerable variation in rate ; unfortunately , no one has kept complete records of one individual , whereas many have been made for a very short period of time .",0.8511737659941656
individual.n.02,"MacLean stressed correctly the importance of the visceral brain for preservation of the individual and the species , as evidenced by the influence of the limbic brain ( including the hypothalamus ) on emotions related to fight and flight and also on sexual functions .",0.8312878382027336
individual.n.02,"A change in the balance to the parasympathetic side leads in the normal individual to sleep or , in special circumstances , to cardiovascular collapse or nausea and vomiting .",0.8127038561708437
individual.n.02,"But he was looking forward to snow - seeing for himself that each tiny crystal of the water of life was a unique individual , as he had read - walking barefoot , rolling in it .",0.7584482035229033
individual.n.02,A further possibility is suggested by the example of the G. I. bills and also by some recent trends in attitudes toward improving college education : that is to provide financial assistance to individuals for vocational training when local facilities are inadequate .,0.8051799602439518
individual.n.02,Personal financial assistance would enable more emphasis to be placed on the interests of the individual .,0.8215284611311264
individual.n.02,"First , and most obvious , was the growing nationalism and the tendency to regard the state , and the individual 's identification with the state , as transcending other ties of social solidarity .",0.7611371648821089
person.n.01,"The results were good although they are difficult to compare with hand brushing , particularly when the individual knows how to brush his teeth properly .",0.779952567513414
person.n.01,"The electric gadget is most helpful when there are many crowned teeth and in individuals who are elderly , bedfast with a chronic disease , or are handicapped by disorders such as cerebral palsy or muscular dystrophy .",0.7151292695823627
person.n.01,"The story is of a famous strip cartoonist , an arty individual , whose specialty is the American boy and who adopts a 10 - year old to provide him with fresh idea material .",0.7525055972781519
person.n.01,"Representing as it did the efforts of only unauthorized individuals of the Roman and Anglican Churches , and urging a communion of prayer unacceptable to Rome , this association produced little fruit , and , in fact , was condemned by the Holy Office in 1864 .",0.7685454842491987
person.n.01,"To be the Savior and the Lord , Jesus Christ has to be a historical individual with a biography all his own ; he dare not be a cosmic aeon that swoops to earth for a while but never identifies itself with man 's history .",0.8297499813166678
person.n.01,Yet this utterly individual historical person must also contain within himself the common history of mankind .,0.7813926659149677
person.n.01,"Irenaeus does not regard Adam and Eve merely as private individuals , but as universal human beings , who were and are all of humanity .",0.8059938844659483
person.n.01,"They arise in situations in which one believes that what happens depends not only on the external world , but also on the precise pattern of behavior of the individual or group .",0.8607306997079405
person.n.01,"We use terms from our personal experience with individuals such as `` trust '' , `` cheat '' , and `` get tough '' .",0.8074466134045496
person.n.01,"To encourage exploration for domestic sources of minerals , the Office of Minerals Exploration ( OME ) of the U.S. Department of the Interior offers financial assistance to firms and individuals who desire to explore their properties or claims for 1 or more of the 32 mineral commodities listed in the OME regulations .",0.7667137466174165
person.n.01,"If the inner functions of religion are performed , the individual is a composed , ordered , motivated , and emotionally secure associate ; he is not greatly frustrated , and he is not anomic ; he is better fitted to perform his social life among his fellows .",0.8380081618704865
person.n.01,"Related to this is the fact that most of the higher religions define for the individual his place in the universe and give him a feeling that he is relatively secure in an ordered , dependable universe .",0.7972251095425207
person.n.01,"At the same time that religion binds the individual helpfully to the supernatural and gives him cosmic peace and a sense of supreme fulfillment , it also has great therapeutic value for him .",0.8266503673405101
person.n.01,"At the same time that religion exercises a conserving influence , it also energizes and motivates both individuals and groups .",0.8650628897291944
person.n.01,Much of the important individual and social action has been owing to religious incentives .,0.804680551720001
person.n.01,"No matter how devoted a man was , no matter how fully he gave his life to the Lord , he could never extinguish that one spark of pride that gave him definition as an individual .",0.7934689764212816
person.n.01,"When the fate of the individual is visited on the group , then ( the warm sweet butter dripped from her raised trembling fork and she pushed her head forward belligerently ) , ah , then the true bitterness of existence could be tasted .",0.8798553237534027
person.n.01,"Are there individuals in your organization who can shepherd a new product through to commercialization ; who can develop reliable estimates of sales volume , production , and distribution costs ; and translate the whole into profit and loss and balance sheet figures which management can act on with some assurance ?",0.7567989495801254
person.n.01,Are annual marketing plans reviewed throughout your management group to get the perspective of all individuals and get everyone on the marketing team ?,0.8503197797388061
person.n.01,"For almost two months , the defendant and the world heard from individuals escaped from the grave about fathers and mothers , graybeards , adolescents , babies , starved , beaten to death , strangled , machine-gunned , gassed , burned .",0.7712675065766132
person.n.01,"`` It is not an individual that is in the dock at this historical trial '' - said Ben Gurion , `` and not the Nazi regime alone - but anti-Semitism throughout history '' .",0.8384272070393836
person.n.01,"And if it was not an individual who was in the dock , why was the Trial , as we shall observe later , all but scuttled in the attempt to prove Eichmann a `` fiend '' ?",0.8207698585988328
person.n.01,"Do patriots everywhere know enough about how the persecution of the Jews in Germany and later in the occupied countries contributed to terrorizing the populations , splitting apart individuals and groups , arousing the meanest and most dishonest impulses , pulverizing trust and personal dignity , and finally forcing people to follow their masters into the abyss by making them partners in unspeakable crimes ?",0.8372660854491669
person.n.01,There were other shifts and pay cuts according to the way individuals had conducted themselves .,0.8552342802008754
person.n.01,"The task of a congregation would be defined , according to economic integration , as the work of co-opting individuals and families of similar social and economic position to replenish the nuclear core of the congregation .",0.8640744332103054
person.n.01,And he describes it as a balanced polarity between the notions of the free individual and what he called the fundamental law .,0.7933803085380148
person.n.01,"And here again we hear the same refrain mentioned above : `` The paramount goal of the United States , set long ago , was to guard the rights of the individual , ensure his development , enlarge his opportunity '' .",0.8415826140429074
person.n.01,"Businesses must develop as a result of the ideas , energies and ambitions of an individual having purpose and comprehensive ability within one mind .",0.8855471902451674
person.n.01,"When we `` forced '' individuals to assume the corporate structure by means of taxes and other legal statutes , we adopted what I would term `` pseudo capitalism '' and so took a major step toward socialism .",0.86918051529488
