sense,sentence,centroid_cs
foreign.a.01,"`` If the day should ever come that foreign invaders swarm ashore along the Gulf Coast '' , the account reads , `` they can count on heavy opposition from a group of commando trained telephone employees - all girls .",0.77011318351235
foreign.a.01,Our technical assistance to these countries should place special emphasis on inducing the central governments to assume the role of advisor and guide which at an earlier stage foreign experts assumed in dealing with the central governments .,0.8288878455576183
foreign.a.01,They must in their planning be able to count on at least tentative commitments of foreign capital assistance over periods of several years .,0.8556960312713993
foreign.a.01,"With the exception of treaty making , foreign relations were historically concerned for the most part with conditions of short or at least measurable duration .",0.7994721493840115
foreign.a.01,"Stowey Rummel was internationally famous , a crafter of a genuine Americana in foreign eyes , an original designer whose inventive childishness with steel and concrete was made even more believably sincere by his personality .",0.775549507808993
foreign.a.01,It has erupted on the national level in the matter of including birth-control information and material in foreign aid to underdeveloped countries .,0.8390174630186622
foreign.a.01,Only the vain and incurably sentimental among us will lose sleep simply because foreign peoples are not as impressed by our strength as they ought to be .,0.8274075492967483
foreign.a.01,"assemble and maintain pertinent and current scientific literature , both domestic and foreign , and issue bibliographical data with respect thereto ;",0.827380337715473
foreign.a.01,"cause on-site inspections to be made of promising projects , domestic and foreign , and , in the case of projects located in the United States , cooperate and participate in their development in instances in which the purposes of this Act will be served thereby ;",0.8135013318552984
foreign.a.01,"There are authorized to be appropriated such sums , to remain available until expended , as may be necessary , but not more than $ 75000000 in all , ( a ) to carry out the provisions of this Act during the fiscal years 1962 to 1967 , inclusive ; ( b ) to finance , for not more than two years beyond the end of said period , such grants , contracts , cooperative agreements , and studies as may theretofore have been undertaken pursuant to this Act ; and ( c ) to finance , for not more than three years beyond the end of said period , such activities as are required to correlate , coordinate , and round out the results of studies and research undertaken pursuant to this Act : Provided , That funds available in any one year for research and development may , subject to the approval of the Secretary of State to assure that such activities are consistent with the foreign policy objectives of the United States , be expended in cooperation with public or private agencies in foreign countries in the development of processes useful to the program in the United States : And provided further , That every such contract or agreement made with any public or private agency in a foreign country shall contain provisions effective to insure that the results or information developed in connection therewith shall be available without cost to the United States for the use of the United States throughout the world and for the use of the general public within the United States .",0.8102316406605686
foreign.a.01,"There are authorized to be appropriated such sums , to remain available until expended , as may be necessary , but not more than $ 75000000 in all , ( a ) to carry out the provisions of this Act during the fiscal years 1962 to 1967 , inclusive ; ( b ) to finance , for not more than two years beyond the end of said period , such grants , contracts , cooperative agreements , and studies as may theretofore have been undertaken pursuant to this Act ; and ( c ) to finance , for not more than three years beyond the end of said period , such activities as are required to correlate , coordinate , and round out the results of studies and research undertaken pursuant to this Act : Provided , That funds available in any one year for research and development may , subject to the approval of the Secretary of State to assure that such activities are consistent with the foreign policy objectives of the United States , be expended in cooperation with public or private agencies in foreign countries in the development of processes useful to the program in the United States : And provided further , That every such contract or agreement made with any public or private agency in a foreign country shall contain provisions effective to insure that the results or information developed in connection therewith shall be available without cost to the United States for the use of the United States throughout the world and for the use of the general public within the United States .",0.8102316406605686
foreign.a.01,"The Commission shall certify to the Secretary of State , upon his request , copies of the formal submissions of claims filed pursuant to subsection ( b ) of section 4 of this Act for transmission to the foreign government concerned .",0.8970369335547115
foreign.a.01,"Nothing in the Title shall be construed as the assumption of any liability by the United States for the payment or satisfaction , in whole or in part , of any claim on behalf of any national of the United States against any foreign government .",0.8748896101721232
foreign.a.01,"There are hereby created in the Treasury of the United States ( 1 ) a special fund to be known as the Yugoslav Claims Fund ; and ( 2 ) such other special funds as may , in the discretion of the Secretary of the Treasury , be required each to be a claims fund to be known by the name of the foreign government which has entered into a settlement agreement with the Government of the United States as described in subsection ( a ) of section 4 of this Title .",0.8820864251710814
foreign.a.01,"a special fund created for that purpose pursuant to subsection ( a ) of this section any amounts hereafter paid , in United States dollars , by a foreign government which has entered into a claims settlement agreement with the Government of the United States as described in subsection ( a ) of section 4 of this Title .",0.8932669539950732
foreign.a.01,"The latter provisions proscribe any contract , combination , or conspiracy in restraint of interstate or foreign trade , and monopolization of , or attempts , combinations , or conspiracies to monopolize , such trade .",0.8495157721824531
foreign.a.01,"The wrong man in the wrong position , perhaps even in a junior position abroad , can be a source of great harm to our policy ; the attitudes of a U.N. delegate who experiences difficulty in finding adequate housing in New York City , or of a foreign diplomat in similar circumstances in our Capital , can be easily be directed against the United States and all that it stands for .",0.8554257537437526
foreign.a.01,"The senior policy officer may be moved to think hard about a problem by any of an infinite variety of stimuli : an idea in his own head , the suggestions of a colleague , a question from the Secretary or the President , a proposal by another department , a communication from a foreign government or an American ambassador abroad , the filing of an item for the agenda of the United Nations or of any other of dozens of international bodies , a news item read at the breakfast table , a question to the President or the Secretary at a news conference , a speech by a Senator or Congressman , an article in a periodical , a resolution from a national organization , a request for assistance from some private American interests abroad , et cetera , ad infinitum .",0.8405905161650987
foreign.a.01,"The foreign entry limit price would be approached more rapidly , since domestic wage rates do not enter foreign costs directly .",0.8404932882985545
foreign.a.01,"The foreign entry limit price would be approached more rapidly , since domestic wage rates do not enter foreign costs directly .",0.8404932882985545
