sense,sentence,centroid_cs
agree.v.02,"Rousseau had to admit that though he could n't agree to a public performance , he would indeed , just for his own private satisfaction , dearly love to know how his work would sound when done by professional musicians and by trained voices .",0.7865502831128854
agree.v.02,He agreed !,0.7747059563307488
agree.v.02,"But that year was different , for just as the city , in the form of my street clothes , had intruded upon my mountain nights , so an essential part of the summer gave promise of continuing into the fall : Jessica and I , about to be separated not by a mere footbridge or mess-hall kitchen but by the immense obstacle of residing in cruelly distant boroughs , had agreed to correspond .",0.7894856295394547
agree.v.02,"Charlie Marble was back and forth on several occasions , first to confer with Andy on the advisability of cancelling the Las Vegas engagement - they decided it was wise - and later to announce that a prominent comedian , also an agency client , had agreed to fill the casino 's open date .",0.8004930890520705
agree.v.02,"Three agreed , but four declined and were suspended .",0.7934181067329786
agree.v.02,He no longer sought to find the law ; he made it ; he could be subjected to law only because he agreed to be .,0.7299309969625248
agree.v.02,Mr. Blatz agreed that this would be pretty .,0.7518034590848153
agree.v.02,Managing Director Donald C. Wagner has agreed to cooperate fully with Hemphill after a period of sharp disagreement on the matter .,0.8200984558163527
agree.v.02,Turkish political leaders bowed today to military pressure and agreed to form an emergency national front government with Gen. Cemal Gursel as president .,0.8490353500835449
agree.v.02,Mr. Shoettle has agreed to do a portrait of the family of the person who wins the door prize .,0.8039432130499127
agree.v.02,Britain announced that it is asking the Soviet Union to agree tomorrow to an immediate cease-fire .,0.8232493651867585
agree.v.02,"However , three of the managers did say that they would agree to attend the proposed meeting if all of the other managers decided to attend .",0.8639367847448615
agree.v.02,"Charles A. Black , COAHR chairman , said Friday that three theater representatives had agreed to meet with the students on Oct. 31 but had failed to show up .",0.8275870617550832
agree.v.02,"Because neither of them really wanted their marriage to break up , Mr. and Mrs. Black agreed to a series of interviews at Family Service of Northern Virginia , the agency nearest them .",0.802459475942668
agree.v.02,"At Geneva in 1954 , to get the war in Indo-China settled , the British and French gave in to Russian and Communist Chinese demands and agreed to the setting up of a Communist state , North Viet Nam - which then , predictably , became a base for Communist operations against neighboring South Viet Nam and Laos .",0.835910021989214
agree.v.02,"Ideally , the President would like the French to agree on a `` status quo ante '' on Bizerte , and accept a new timetable for withdrawing their forces from the Mediterranean base .",0.8195373844449794
agree.v.02,"And until this protection is at least as concrete as , say , the row of hotels that bars us from our own sands at Miami Beach , those who represent us all should agree to nothing .",0.838786002499381
agree.v.02,"Actually , the Communists , out of fear of a united and armed Germany , would probably be willing to agree to a disarmed Germany that would be united and neutral and have its independence guaranteed by the U. N. .",0.84244068044462
agree.v.02,"This leader must be a man who lives above illusions that heretofore have shaped the foreign policy of the United States , namely that Russia will agree to a reunited Germany , that the East German government does not exist , that events in Japan in June 1960 were Communist-inspired , that the true government of China is in Formosa , that Mao was the evil influence behind Khrushchev at the Summit Conference in Paris in May 1960 , and that either China or Russia wants or expects war .",0.8086928171028718
agree.v.02,"'' Information is hereby given that Mr. Timothy Palmer of Newburyport , Mass. has agreed to take charge of the concerns of the Patentees of the Chain Bridge , in the states of Massachusetts , New Hampshire , Vermont , Rhode Island , and Connecticut , so far as relates to the sale of Patent rights and the construction of Chain Bridges .",0.7787689534333481
agree.v.02,"The Armed Forces Epidemiological Board agreed to submit each month a report for one of its 12 commissions , so that each commission will report once a year on some phase of its work calculated to be of particular interest and value to medical officers of the Armed Forces .",0.7614216552811993
agree.v.02,"`` For instance , Hesperus agreed to help me find my property , and I agreed to take him to Earth .",0.7982861922955539
agree.v.02,"`` For instance , Hesperus agreed to help me find my property , and I agreed to take him to Earth .",0.7982861922955539
agree.v.02,To this we of course agree '' .,0.7484060743107998
agree.v.02,"B ' dikkat grudgingly agreed , but he did not come out of the doorway .",0.6821651058741
agree.v.01,"Mays and Mantle , both 10 - year men at 30 , have so much ability that , baseball men agree , they 've never hit the heights .",0.7551406774651028
agree.v.01,All Southerners agree that slavery had to go ; but many historians maintain that except for Northern meddling it would have ended in states like Virginia years before it did .,0.7974364599567038
agree.v.01,Theoretical studies of the hydrogen bond generally agree that the **f bond will be linear in the absence of peculiarities of packing in the solid .,0.7497461540294855
agree.v.01,"Thus in independent voting , * * f or 0.52 of the couples would agree .",0.798831557488332
agree.v.01,"But Table 7 - 1 shows that * * f or 0.70 agree , too many for independent voting .",0.7607406784187974
agree.v.01,There is perhaps no value statement on which people would more universally agree than the statement that intense pain is bad .,0.8324523029465305
agree.v.01,"His teacher and his school principal were conferred with and everyone agreed that , if he kept up with a certain amount of work at home , there was little danger of his losing a term .",0.8284055099583413
agree.v.01,Rousseau agreed .,0.7865326883968755
agree.v.01,To that Rousseau could agree .,0.8132798491313485
agree.v.01,"So John had refused to agree to his appointment as a preacher , and now Caroli sought revenge .",0.7272049477590786
agree.v.01,"`` If William agrees , we should insist on a public debate '' , he said at length .",0.7678393399727055
agree.v.01,"Once in a while they said what a shame it was , with Granny dying , but they all agreed she would n't have wanted it any other way .",0.7546297034588934
agree.v.01,"He had only agreed with Miss Ada about getting the valet , but he had actually suggested the photograph to Mr. Jack .",0.8207950329839091
agree.v.01,"Later , we agreed to think of how we wished to spend that night .",0.6908031523755557
agree.v.01,"`` A fine idea '' , Mike agreed .",0.7665312194067423
agree.v.01,"Somehow , all the other passengers ( also supposed to have died in this web of elaborate frauds to cover up the disappearance of the personnel of the Gabriel ) had simultaneously `` agreed '' to die .",0.716019686538334
agree.v.01,"But since the gourmet insisted that it is done that way at the most fashionable dinners , the girl reluctantly agreed .",0.7490641911629456
agree.v.01,Her woolly minded parent agreed .,0.7821748898958428
agree.v.01,"`` She really is a dear little thing '' , my mother agreed .",0.7580404593820428
agree.v.01,We unanimously agreed that Prokofieff had won his rights as a world citizen to the first ranks of Twentieth Century Composers .,0.8253848707740475
agree.v.01,Most marketing people agree it is going to take redoubled efforts to satisfy future requirements .,0.7943541801625932
agree.v.01,Yet many psychologists and marriage counselors agree that domination of the sex relationship by one partner or the other can be unhealthy and even dangerous .,0.7863004687267002
agree.v.01,"Virtually everyone agrees , however , that the trend toward female sexual aggressiveness was tremendously accelerated with the postwar rush to the suburbs .",0.6897652580686223
agree.v.01,"I do not mean to suggest that these assumptions are self-evident , in the sense that everyone agrees with them .",0.7448233547694593
agree.v.01,Mr. Keo agreed .,0.7787464680044492
agree.v.01,The great detective modestly agrees .,0.7255181077845364
agree.v.01,I would agree with this view .,0.7740046527759652
agree.v.01,"She could not resist the opportunity `` of showing her superiority in argument over a man '' which she had remarked as one of the `` feminine follies '' of Sara Sullam ; and in her forthright way , Henrietta , who in her story of Sara had indicated her own unwillingness `` to think of men as the privileged '' and `` women as submissive and yielding '' , felt obliged to defend vigorously any statement of hers to which Morris Jastrow took the slightest exception - he objected to her stand on the Corbin affair , as well as on the radical reforms of Dr. Wise of Hebrew Union College - until once , in sheer desperation , he wrote that he had given up hope they would ever agree on anything .",0.6574458226646293
agree.v.01,"Written evidence that the claimant and any such attorney have agreed to the amount of the attorney 's fees shall be conclusive upon the Commission : Provided , however , That the total amount of the fees so agreed upon does not exceed 10 per centum of the total amount paid pursuant to the award .",0.6890803050801799
agree.v.01,"This Court agreed with the trial court `` that considerations of price , quality and service were not overlooked by either du Pont or General Motors '' .",0.8041687388180709
agree.v.01,She clearly agreed that this had been the case .,0.8293007147482604
agree.v.01,Disagreement on the amount of productivity increase exacerbates the problem of agreeing how an increase in profit margins related to a productivity increase should be shared .,0.6817214171423269
agree.v.01,"Arthur Williams had to be located , they agreed .",0.7642558533641819
agree.v.01,"`` Yeah , I can see that '' , the friend was forced to agree .",0.8261227544170548
agree.v.01,`` I could n't agree with you more '' .,0.7406792517700183
agree.v.01,"`` Of course , I agree with the Captain '' , Gansevoort said thoughtfully , `` but the conspiracy is ferocious and desperate .",0.811518200058051
agree.v.01,"`` That 's true '' , Spencer agreed and withdrew himself from the conversation .",0.7482066229786051
agree.v.01,"His reply , he said , was that he agreed to the need for unity in the country now .",0.7812582894946439
agree.v.01,The three leaders of Laos agreed today to begin negotiations tomorrow on forming a coalition government that would unite the war-ridden kingdom .,0.7539094967216208
agree.v.01,"The three Laotians agreed upon a six-point agenda for their talks , which are to last three days .",0.7308096611429714
agree.v.01,The army leaders threatened to form a new military government if the parties failed to sign an eight point protocol agreeing on Gen. Gursel as president .,0.7412417860597885
agree.v.01,I think everybody is agreed that we need to hear some voice on the national level that would make some sense and in which we would have some confidence in following .,0.776133671824873
agree.v.01,"It was generally agreed that the subject was important and the board should be informed on what was done , is going to be done and what it thought should be done .",0.7406438866277999
agree.v.01,The council agreed it should more firmly state its belief in and dependence on the Bible .,0.7556153825078213
agree.v.01,She said the jurors agreed that Pohl 's confession was valid .,0.8223117010965612
agree.v.01,A mistrial was declared in the case against the other seven when the jury was unable to agree on a verdict .,0.685345813245386
agree.v.01,"But by week 's end the Laotian cry of invasion was read as an exaggeration ( see Foreign News ) , and the U. S. was agreeing with its cautious British and French allies that a neutralist - rather than a pro-Western - government might be best for Laos .",0.815365476206103
agree.v.01,"When she agrees , you can rest assured her position will remain unchanged .",0.763529491901341
agree.v.01,"The scientists , in and out of government , do not agree on some of the most vital points , at least publicly .",0.802476511606698
agree.v.01,"Dr. Linus Pauling , a Nobel Prize winner in chemistry , has been less ambiguous , whether you choose to agree with him or not .",0.7919140287107264
agree.v.01,Against this invincible determination to communize the whole world stands a group of nations unable to agree on fundamentals and each refusing to make any sacrifice of sovereignty for the common good of all .,0.7576828458296854
agree.v.01,"Even Professor Arnold Toynbee , agreeing with his son , does so in these terms : `` Compared to continuing to incur a constant risk of the destruction of the human race , all other evils are lesser evils .",0.7826834198749149
agree.v.01,"`` We , the Subscribers , do agree , that as soon as a convenient Number of Persons have subscribed to this , or a similar Writing , We will present a petition to the Hon ' ble General Court of the Commonwealth of Massachusetts , praying for an Act incorporating into a Body politic the subscribers to such Writing with Liberty to build such a Bridge , and a Right to demand a Toll equal to that received at Malden Bridge , and on like Terms , and if such an Act shall be obtained , then we severally agree each with the others , that we will hold in the said Bridge the several shares set against our respective Names , the whole into two hundred shares being divided , and that we will pay such sums of Money at such Times and in such Manners , as by the said proposed Corporation , shall be directed and required '' .",0.7765555628932646
agree.v.01,"`` We , the Subscribers , do agree , that as soon as a convenient Number of Persons have subscribed to this , or a similar Writing , We will present a petition to the Hon ' ble General Court of the Commonwealth of Massachusetts , praying for an Act incorporating into a Body politic the subscribers to such Writing with Liberty to build such a Bridge , and a Right to demand a Toll equal to that received at Malden Bridge , and on like Terms , and if such an Act shall be obtained , then we severally agree each with the others , that we will hold in the said Bridge the several shares set against our respective Names , the whole into two hundred shares being divided , and that we will pay such sums of Money at such Times and in such Manners , as by the said proposed Corporation , shall be directed and required '' .",0.7765555628932646
agree.v.01,"In the early 1950 's , Smith , together with his distinguished colleague , George Trager ( so austerely academic he sometimes fights his own evident charm ) , and a third man with the engaging name of Birdwhistell ( Ray ) , agreed on some basic premises about the three-part process that makes communication : ( 1 ) words or language ( 2 ) paralanguage , a set of phenomena including laughing , weeping , voice breaks , and `` tone '' of voice , and ( 3 ) kinesics , the technical name for gestures , facial expressions , and body shifts - nodding or shaking the head , `` talking '' with one 's hands , et cetera .",0.7096977477490563
agree.v.01,All three must compare notes and agree to `` go '' .,0.7642760437087502
agree.v.01,"The ideal home , they agreed , would be a small private house or a city apartment of four to five rooms , just enough for a family consisting of husband , wife , and two children .",0.7719232340681799
agree.v.01,"I did so because I agree with so many here today , that he is the beloved Speaker of all the people of the United States .",0.7761848195691823
agree.v.01,"The American Registry of Pathology operates as a cooperative enterprise in medical research and education between the Armed Forces Institute of Pathology and the civilian medical profession on a national and international basis , under such conditions as may be agreed upon between the National Research Council and The Surgeons General of the Army , Navy , and Air Force .",0.6712213407381439
agree.v.01,"The history of disarmament agreements , for instance , had been unreassuringly dismal ; but the United States and the Union of Soviet Socialist Republics nevertheless did eventually agree on an atomic bomb test ban , and a sort of provisional acceptance of each other 's good intentions on this limited question .",0.7448465617290962
agree.v.01,"As I dug in behind one of the bales we were using as protection , I grudgingly found myself agreeing with Oso 's logic , especially when I imagined what would have happened to Missy if Old Knife 's large party of screeching warriors had overrun our company .",0.7674358710502356
agree.v.01,"Still , I was disgusted with myself for agreeing with Montero 's methods .",0.7566258390204087
