sense,sentence,centroid_cs
expect.v.03,These societies can expect to face difficult times .,0.7826501666954773
expect.v.03,`` I will be expecting them '' .,0.7820457524671295
expect.v.03,"Expecting something more-than average wacky , I was surprised by what we found .",0.7217727204010024
expect.v.03,"What do you expect to get tonight , anyway ?",0.7637777487013178
expect.v.03,"Mr. Crosson 's been on everybody 's neck , an order he expected did n't come through and he 's '' -",0.7706754161985123
expect.v.03,He does n't expect you until five '' .,0.7770559757378167
expect.v.03,"`` We [ the Chicago Association of Commerce and Industry ] expect to establish closer relations with nations and their cultural activities , and it will be easy as a member of the fair staff to bring in acts '' , explains Mrs. Geraghty .",0.7979450093745636
expect.v.03,And it turned out to be more of a family affair than expected .,0.6534238366686085
expect.v.03,"His visit to Warsaw , Poland , after the Russian journey in the summer of 1959 was expected to win the Polish vote which , in several cities , is substantial .",0.7617315084626195
expect.v.03,"This leader must be a man who lives above illusions that heretofore have shaped the foreign policy of the United States , namely that Russia will agree to a reunited Germany , that the East German government does not exist , that events in Japan in June 1960 were Communist-inspired , that the true government of China is in Formosa , that Mao was the evil influence behind Khrushchev at the Summit Conference in Paris in May 1960 , and that either China or Russia wants or expects war .",0.7852022986355183
expect.v.03,"`` If you expect her to show up '' , she said , `` you 'd better put ' and wife ' on there .",0.7465517142163325
expect.v.01,Caldwell 's resignation had been expected for some time .,0.7389726745861752
expect.v.01,"When the gubernatorial campaign starts , Caldwell is expected to become a campaign coordinator for Byrd .",0.7327334859816236
expect.v.01,"Before adjournment Monday afternoon , the Senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be made .",0.7270180461174892
expect.v.01,Gov. Vandiver is expected to make the traditional visit to both chambers as they work toward adjournment .,0.7561873521919316
expect.v.01,"While details are still be to worked out , Ratcliff said he expects to tell home folks in Dallas why he thinks Berry 's proposed constitutional amendment should be rejected .",0.6848605166713982
expect.v.01,"A House committee which heard his local option proposal is expected to give it a favorable report , although the resolution faces hard sledding later .",0.7610997494610887
expect.v.01,"Just before game time , Robinson 's pretty wife , Connie informed him that an addition to the family can be expected late next summer .",0.7385529398432616
expect.v.01,"Except for sophomore center Mike Kelsey and fullback Mike Rice , Meek expects the squad to be physically sound for Rice .",0.6850823394524761
expect.v.01,"The Texans have two more road games - at Buffalo and Houston - before they play for the home folks again , and it looks as if coach Hank Stram 's men will meet the Bills just as they are developing into the kind of team they were expected to be in pre-season reckonings .",0.7786292568758472
expect.v.01,The selection had been expected .,0.7725952877446577
expect.v.01,"With Skorich at the helm , the Eagles are expected to put more emphasis on running , rather than passing .",0.7678615644729344
expect.v.01,"A crowd of 1400 is expected for the ceremonies , which will be followed by the show in which the writers will lampoon baseball personalities in skit , dance and song .",0.7494578287762091
expect.v.01,"Other items on the agenda during the meetings , which are expected to continue through Saturday , concern television , rules changes , professional football 's hall of fame , players ' benefits and constitutional amendments .",0.704515875228277
