sense,sentence,centroid_cs
investigate.v.02,The September October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr. .,0.8513216833312108
investigate.v.02,"The 1946 town meeting voted to have the Selectmen appoint a committee to investigate and report on the feasibility of some system of sewage disposal and a disposal plant to serve Manchester Center , Depot , and Way 's Lane .",0.8140422946974588
investigate.v.02,"Today the private detective will also investigate insurance claims or handle divorce cases , but his primary function remains what it has always been , to assist those who have money in their unending struggle with those who have not .",0.833835353900693
investigate.v.02,"Whatever his original assignment , the fictional private eye ends up by investigating and solving a crime , usually a murder .",0.8347116343441304
investigate.v.02,"He had to make Jess talk , and he had to do it before Stacey Black got curious and came to investigate .",0.805557410847365
investigate.v.02,Once Todman thought he had spotted a tank and went down to investigate while Greg covered him .,0.8223660608285951
investigate.v.02,An assistant attorney general is directed to investigate .,0.8829320587915787
investigate.v.02,The Philadelphia Transportation Co. is investigating the part its organization played in reviewing the project .,0.8126330594956287
investigate.v.02,"`` The PTC is investigating the whole matter '' , Pratt said .",0.8732720623143223
investigate.v.02,He reported that the city 's contributions for animal care included $ 67000 to the Women 's S. P. C. A. ; $ 15000 to pay six policemen assigned as dog catchers and $ 15000 to investigate dog bites .,0.8750286134742052
investigate.v.02,"Patrolman Robert J. Nunes , who investigated , said the thieves broke in through the back door .",0.7912686219603601
investigate.v.01,The dependence of the arc voltage upon the mass flow velocity of the transpirating gas was investigated for various arc lengths and currents between 100 Amp and 200 Amp .,0.9201190508559302
investigate.v.01,This phenomenon has been experimentally investigated in detail by Maecker ( Ref. 1 ) .,0.8930838099515812
investigate.v.01,"Large numbers of potential builders have been investigated , but none have been found to be as effective as the polyphosphates over the relatively wide range of conditions met in practice .",0.8536228971684409
investigate.v.01,Klauber investigated the rattlesnakes carefully himself and also summarized what others have found .,0.8120767519811481
investigate.v.01,Have you investigated the possibility of moving midweek holidays forward to Monday or back to Friday in order to have an uninterrupted work week ?,0.8202329873706995
investigate.v.01,"This is an unsolved problem which probably has never been seriously investigated , although one frequently hears the comment that we have insufficient specialists of the kind who can compete with the Germans or Swiss , for example , in precision machinery and mathematics , or the Finns in geochemistry .",0.8453889709161556
investigate.v.01,This problem of the optimum balance in the relative numbers of generalists and specialists can be investigated on a communicative network basis .,0.873225159579726
investigate.v.01,The first diatomic hydride investigated by the paramagnetic resonance method was the OH radical .,0.8318310002557124
investigate.v.01,Carbon resistors and impurity doped germanium resistors have been investigated for use as precision secondary thermometers in the liquid helium temperature region .,0.843978925261767
investigate.v.01,The reproducibilities of helium vapor-pressure thermometers have been investigated in conjunction with a `` constant temperature '' liquid helium bath from 4.2 to 1.8 * * f .,0.9274404433819144
investigate.v.01,It would have been desirable for the two communities to have differed only in respect to the variable being investigated : the degree of structure in teaching method .,0.8476575457446833
investigate.v.01,"We received 76 out-of-state visitors interested in investigating Rhode Island 's industrial advantages , and Industrial Division personnel made 55 out-of-state follow-up visits .",0.8051261924634497
investigate.v.01,In 1 we investigate a new series of line involutions in a projective space of three dimensions over the field of complex numbers .,0.8085119865594076
investigate.v.01,The element of status-roles and associated processes have not been sufficiently investigated for this population to permit any type of conjectures about them .,0.8832683755028539
investigate.v.01,"She approached the problem by investigating the methods of sound reproduction through the centuries , human and instrumental .",0.846935428046347
investigate.v.01,"They had bought their house in Catatonia after investigating all the regions of suburbia surrounding New York ; they had chosen Catatonia because of its reputation for excellent schools , beaches , and abundance of names .",0.7693140313728978
