sense,sentence,centroid_cs
sustain.v.04,The major studios maintain a cadre of film librarians and research specialists who look to this matter .,0.8424278377953266
sustain.v.04,"A contributing factor is the perspective , the uniform aesthetic distance which is maintained .",0.8012605910041927
sustain.v.04,"The religion supports , re-enforces , reaffirms , and maintains the fundamental values .",0.7950675883588184
sustain.v.04,Manthey maintained a valuable collection of physical and chemical apparatus which was at Oersted 's disposal during and after his graduation .,0.7426380864016892
sustain.v.04,How can you cash in on this fast-growing type of outlet and still maintain relationships with older existing outlets which are still important ?,0.8319553533741247
sustain.v.04,"This dinner was the start of a new blatancy in the relationship between the gangs and the politicians , which , prior to 1924 , says Pasley , `` had been maintained with more or less stealth '' , but which henceforth was marked by these ostentatious gatherings , denounced by a clergyman as `` Belshazzar feasts '' , at which `` politicians fraternized cheek by jowl with gangsters , openly , in the big downtown hotels '' .",0.8095449532598564
sustain.v.04,"In order to assist the States in maintaining basic vocational rehabilitation services , Section 2 of the amended Act provides that allotments to States for support of such services be based on ( 1 ) need , as measured by a State 's population , and ( 2 ) fiscal capacity , as measured by its per capita income .",0.8560392110892852
sustain.v.04,"For the States which maintain two separate agencies - one for the vocational rehabilitation of the blind , and one for the rehabilitation of persons other than the blind - the Act specifies that their minimum ( base ) allotment shall be divided between the two agencies in the same proportion as it was divided in fiscal year 1954 .",0.8241513329393889
sustain.v.04,"But Blanche had been able to maintain a serene and assured composure in the face of her widowed mother 's continued carping , had been able to resist her urgings to date anyone who offered the slightest possibility of matrimony .",0.7702748759096949
sustain.v.04,More than 10 companies maintain facilities in Dallas and one large manufacturer is located to the north at Sherman .,0.7713814196617524
sustain.v.04,"Ironically , these are the groups which have doubled or tripled their missionary efforts since World War 2 , , while the more established denominations are barely maintaining pre-war staffs .",0.8408988747002022
sustain.v.04,"Everywhere there seems to be a growing recognition of the fact that governments and religious institutions alike are too fallible and corruptible - in a word , too human - to warrant any claim of maintaining partnership with the divine .",0.8193268301937537
sustain.v.04,"To this end , the community assistance program of the planning division will continue to be operated as a staff function to make available , on a shared cost basis , technical planning assistance to those communities in the state unable to maintain their own planning staff .",0.836471846016013
conserve.v.02,"Recent research on Irenaeus , however , makes it evident that he does not consistently maintain this distinction .",0.7264898994953487
conserve.v.02,"Their main asset is an abundance of unsaturated fatty acids , so necessary for maintaining the good health of the circulatory system .",0.8009882217995727
conserve.v.02,Almost everything about the movies that is peculiarly of the movies derives from a tension created and maintained between narrative time and film time .,0.791662067445485
conserve.v.02,"Each SBA regional office also maintains a `` want '' list of surplus property , principally machinery and equipment , desired by small business concerns in its area .",0.7707001439759879
conserve.v.02,The Administration maintains a productive facilities inventory of small business industrial concerns that have voluntarily registered .,0.7687072694275382
conserve.v.02,"When the smaller facet-planes of Analytical Cubism were placed upon or juxtaposed with the large , dense shapes formed by the affixed materials of the collage , they had to coalesce - become `` synthesized '' - into larger planar shapes themselves simply in order to maintain the integrity of the picture plane .",0.7999003429536145
conserve.v.02,Do you try to maintain the principle of employee contributed ( as opposed to fully company paid ) programs ?,0.8494289363326022
conserve.v.02,Do you know the trend in your cost of maintaining access roads and parking lots ?,0.7948390162127681
conserve.v.02,Will your local bus company erect and / or maintain the bus stops at your plant ?,0.8337207066301137
conserve.v.02,The Company maintained a store at which products of England could be purchased and brought in goods for the new merchants on the understanding that they refrain from trading in furs .,0.7706742480237666
conserve.v.02,"Nevertheless , most of the teen-agers I interviewed believed in maintaining their Jewish identity and even envisioned joining a synagogue or temple .",0.8087802786978372
conserve.v.02,The fact that metropolitan churches of the major denominations have moved approximately every generation for the last hundred years becomes somewhat more intelligible in the light of this struggle to maintain economic balance .,0.820964049918086
conserve.v.02,"assemble and maintain pertinent and current scientific literature , both domestic and foreign , and issue bibliographical data with respect thereto ;",0.753321762156374
conserve.v.02,"The authority of the Secretary of the Interior under this joint resolution to construct , operate , and maintain demonstration plants shall terminate upon the expiration of twelve years after the date on which this joint resolution is approved .",0.7909607447341002
conserve.v.02,"Be it enacted by the Senate and House of Representatives of the United States of America in Congress assembled , That the Secretary of the Interior is hereby authorized and directed to establish and maintain a program of stabilization payments to small domestic producers of lead and zinc ores and concentrates in order to stabilize the mining of lead and zinc by small domestic producers on public , Indian , and other lands as provided in this Act .",0.766808191928927
conserve.v.02,"In private life , Miss Garson is Mrs. E. E. Fogelson and on the go most of the time commuting from Dallas , where they maintain an apartment , to their California home in Los Angeles ' suburban Bel-Air to their ranch in Pecos , New Mexico .",0.6880237196559169
