sense,sentence,centroid_cs
hang.v.03,"For these crimes he was sentenced to be hanged in public on Friday , December 2 , 1859 .",0.8593146764388851
hang.v.03,"Concerning the sentence the editor asked , `` What else can Virginia do than to hang the men who have defied her laws , organized treason , and butchered her citizens '' .",0.8659908549309664
hang.v.03,The Woonsocket Patriot admitted that John Brown might deserve punishment or imprisonment `` but he should no more be hung than Henry A. Wise or James Buchanan '' .,0.8628488712982646
hang.v.03,"On December 2 , 1859 , John Brown was hanged at Charles Town , Virginia .",0.8215946692062517
hang.v.03,Usually a veteran has to hang himself to get space on the front page .,0.7262219640714815
hang.v.03,"Then let the whole lot be hanged in a public mass execution on July 4 , 1963 .",0.8849620711677662
hang.v.03,"Hanging the responsible officials would not abolish the government , but would emphasize its accountability for the lives of its individual citizens , which would certainly alter it , and definitely for the better .",0.8158873420667686
hang.v.03,"If we make it established custom that whenever butchery on the highways grows excessive , say beyond 25000 per annum , then somebody is going to hang , it follows that the more eminent the victim , the more impressive the lesson .",0.8423551399233538
hang.v.03,"To hang 50 Governors might be preferable except that they are not directly related to the highways ; so , all things considered , the highway commissioners would seem to be elected .",0.795724597769462
hang.v.03,She went to the father and found he had hanged himself '' .,0.8210280220912403
hang.v.03,"Anyway , I did not see her until two weeks after the refugee hanged himself .",0.7835835092730922
hang.v.02,"And in England , after the Restoration , the body of Cromwell was disinterred and hanged at Tyburn .",0.7078696154862602
hang.v.02,"His hands lay loosely , yet stiffly - they were like wax hands : almost lifelike , not quite - folded in his lap ; his mouth hung slightly open .",0.6990763261085846
hang.v.02,"The smoke from that chimney rose as sluggishly as smoke from any other , and hung as sadly in the drizzle , creeping back down along the sopping canvas of the roof .",0.7402541996533819
hang.v.02,Black strips of skin hung from it .,0.7123697817455392
hang.v.02,He drew a long breath and opened the trunk and hung out her clothes and spoilables upon the wagon ribs .,0.7802083710109359
hang.v.02,"After a short time , both George and Donald joined the class with me so they would n't feel lonely , and we used to hang a sign on the door of the Brush-off reading `` out to work '' .",0.7699003652514975
hang.v.02,That was where the pegboard would go on which he would hang his hand tools .,0.8633319186173257
hang.v.02,Then at least he would have a place to hang his tools and something to work on .,0.8114868644758514
hang.v.02,"Modern embroidered panels , framed and meant to be hung on the wall , are another aspect of this trend .",0.7857310558469756
hang.v.02,"Finally men arrested Him , gave Him a mock trial , flogged Him , nailed Him on a cross and hung Him between earth and heaven ; and God allowed it .",0.7917096980843533
hang.v.02,I had mounted it on velvet and hung it over my desk to remind me always to use the power of the paper in a Christian manner .,0.8378731026116245
hang.v.02,"Maggie started laughing , and she laughed so hard she could n't stop , and she kept on laughing while she lugged the clothes out to the yard to hang them up while the sun was still shining .",0.7881188964335156
hang.v.01,"Closer still , regular barricades of barbed wire hung on timber supports .",0.8298078455320091
hang.v.01,Hanging over the bar was an oil painting of a nude Al had accepted from a student at the Corcoran Gallery who needed to eat and drink and was broke .,0.7532404541757021
hang.v.01,"For a moment , boy and mount hung in midair .",0.6957055904376954
hang.v.01,"We were less than a quarter of a mile from the road , and we could trace its shape from the ribbon of powder smoke and dust that hung over it .",0.7356094165024619
hang.v.01,"Everywhere else his ideas lay or hung in visible form : his models , drawings , ten foot canvases in monochromes from his painting days , and underfoot a windfall of broken-backed books that looked as though their insides had been ransacked by a maniac .",0.8061047957024706
hang.v.01,"Bicycle gear-sets he had once used as the basis of the design for the Camden Cycly Company plant hung on a rope in one corner , and over his desk , next to several old and dusty hats , was a clean pair of roller skates which he occasionally used up and down front of his house .",0.8130359787127706
hang.v.01,"For the remainder of the movie , Chancellor Neitzbohr proceeds to lash the piano stool with a slat from a Venetian blind that used to hang in the pre-war Reichstag .",0.7842450238754688
hang.v.01,Fog hung over the route constantly .,0.7394761292114785
hang.v.01,Then we hung overboard in the water .,0.6541032103942693
hang.v.01,"From above one could only occasionally catch a glimpse of life on the floor of this green sea : a neighbor 's gingham skirt flashing into sight for an instant on the path beneath her grape-arbor , or the movement of hands above a clothesline and the flutter of garments hung there , half-way down the block .",0.7874511014803252
hang.v.01,"Every morning early , in the summer , we searched the trunks of the trees as high as we could reach for the locust shells , carefully detached their hooked claws from the bark where they hung , and stabled them , a weird faery herd , in an angle between the high roots of the tulip tree , where no grass grew in the dense shade .",0.799854073854163
