sense,sentence,centroid_cs
about.r.03,"When authorities convicted him of practicing medicine without a license ( he got off with a suspended sentence of three years because of his advanced age of 77 ) , one of his victims was not around to testify : He was dead of cancer .",0.6741753593199528
about.r.03,"All he does is to bullshit with his squad , and they are the stupidest bastards around .",0.6393737860662042
about.r.03,"He looked wildly around , at the now empty street , at the mud , at the rain .",0.6454831762940315
about.r.03,"She was the only kind of Negro Laura Andrus would want around : independent , unservile , probably charging double what ordinary maids did for housework - and doubly efficient .",0.7691194144379894
about.r.03,The street cleaner had not yet been around .,0.8209196972988403
about.r.03,"No , they had n't seen anyone around ; no , they did n't know the Andrus family ; yes , they had read about the case ; yes , they had let some reporters use their phone , but they would no longer .",0.823772654218665
about.r.03,"He would lay in wait in the garage , and when the terrier came scratching around , he 'd let fly with a cherry bomb .",0.6949183882909485
about.r.03,What I did know was that Precious was always around .,0.7443075810145399
about.r.03,When he was a kid I was n't around '' .,0.7214059928395822
about.r.03,"They all sat around and drank ice water , and the men smoked , and everybody had a good time .",0.6896790399361171
about.r.03,"After they had left , some of the people moved around , to find more comfortable places to sit .",0.7599712088456554
about.r.03,"Alex explained that they had been out for a stroll before breakfast while the doctor edged around behind him , attempting to hide the protuberance at his left side behind Alex 's arm and back .",0.6645409488616253
about.r.03,"They surged around him , fingers pointing , eyes prying .",0.6098285724262547
about.r.03,"Moving around camp we saw all kinds of camp stoves , lanterns , coolers , bedding , games , fishing tackle , windbreaks and sunshades .",0.6775154104898038
about.r.03,"Furthermore , Dr. Calderone says , a certain number of docile , retiring men always have been around .",0.8061862532983182
about.r.03,"I speak of `` the largest possible measure '' because any person who supposes that these conditions can be universally and perfectly achieved - ever - reckons without the inherent imperfectability of himself and his fellow human beings , and is therefore a dangerous man to have around .",0.7036442797456337
about.r.03,"The din was successful , too , for just before the moon disappeared , the frightened toad had begun to spit it out again , which meant good luck all around .",0.5858270588857087
about.r.03,"I would n't hear from him for a couple of weeks , then he 'd come around with the completed lyric '' .",0.6670307627623757
about.r.03,"My man , he won n't be around a little while , he just fixed me up with this stuff they took out of the Elite .",0.7738677944379417
about.r.03,"`` A lot of people are so peculiar that they do n't like cats , it 's not the easiest thing in the world to find good homes for kittens - and , damn it , you know very well if I have them around long , impossible to give them away !",0.8040822821765764
about.r.03,"But of course the paterollers won n't be of any help , not with everything so upset and that Yankee cavalry outfit they say is running around , God knows where '' .",0.7572154137422201
about.r.03,"I would have been negligent and a goddam lousy cop to boot , if I 'd sat around this station all night when somebody got away with murder in my district .",0.6808419767169271
about.r.03,The clearly identifiable enemy continued on as if no one else were around .,0.776118417250868
